,overall_ranking,first_name,last_name,pos,team,body
77,77,Edwin,Arroyo,SS,CINCINNATI REDS,"Age: 21 Ht: 5-11 Wt: 175 Bats: S Throws: R 2024 Ranking: 78 Arroyo missed all of the 2024 regular season after tearing the labrum in his left shoulder in March, undergoing surgery that kept him out until the Arizona Fall League, where he played 18 games but looked understandably rusty. He has the tools to be a plus defender at short, with excellent range and a strong arm, but remains very inconsistent in the ﬁeld, lacking great timing, dropping his arm on a lot of throws, and otherwise making scouts question whether heʼll have the https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 113/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic skills to stay there long term. He has bat speed and has shown he can handle good fastballs, still MLB Teams • • • • • • needing to get stronger and to improve his breaking-ball recognition. Heʼs also an above-average to plus runner who should add value on the bases. Heʼs still just 21 and has time to add that strength and work on the pitch recognition, although heʼs lost probably 400 or so at-bats that he canʼt easily recover due to the injury. Arroyo has everyday ceiling as a shortstop if he can bear down and get more consistent on defense, or he could be a solid regular at second base if he ﬁlls out some more and starts hitting the ball harder. Photo:AP Images CINCINNATI REDS SS"
78,78,Jesus,Made,SS,MILWAUKEE BREWERS,"Age: 18 Ht: 6-1 Wt: 187 Bats: S Throws: R MILWAUKEE BREWERS SS 2024 Ranking: Ineligible I very rarely put international free agents on my top 100 before theyʼve played a game in the U.S. complex leagues, but two things worked in Madeʼs favor this year: the minors are as thin as ever in elite prospects, and heʼs really *&^ing good. Made signed for just $950,000 in January 2024 and had a reputation as a power-over-hit guy, but instead he showed up in the DSL and showed a way more mature approach at the plate than expected, walking more than he struck out — thatʼs not that hard to do in the DSL, just donʼt ever swing — and making very good swing decisions. Heʼs barely begun to ﬁll out but already makes hard, loud contact from both sides of the plate, getting compared to Jackson Chourio at the same age, but with better batted-ball data. Heʼs a shortstop now with a plus arm that will help him with a likely move to third base once heʼs a little older, and the Brewers have already given him time at third and second, so they may be thinking along the same lines. He could easily be a top 20 prospect at this time next year if the approach and the loud contact carry over to the ACL or even Low A."
79,79,Harry,Ford,C,SEATTLE MARINERS,"https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 114/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Age: 22 Ht: 5-10 Wt: 200 Bats: R Throws: R MLB Teams • • • • • • 2024 Ranking: 61 Ford had a mixed year in 2024, moving up to Double A and continuing to get on base, albeit with slightly worse results across the board at the plate, while his defense behind the plate was worse and thereʼs more chance now that he ends up at DH than there was a year ago. He still has very strong plate discipline, chasing pitches out of the zone just 19 percent of the time, about one- third of those were pitches just one ballʼs width outside of the zone. He has shown he can lay off many right-handersʼ sliders down and away. He has more raw power than his .367 slugging percentage would imply, but last year he just didnʼt square the ball up anywhere near as consistently has he had before, and his tendency to pop up pitches a little above the belt got worse. Heʼs a plus runner and great athlete who moves well behind the dish, but heʼs a 45 receiver right now and his plus arm hasnʼt translated into even average caught-stealing rates. The Mariners did try him a few games in left ﬁeld this year, but the early returns werenʼt promising. Heʼs 21, knows the strike zone, has untapped power, and is very athletic, all reasons to still https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 115/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic believe thereʼs upside here, but Fordʼs 2024 season was kind of a disappointment, and if he MLB Teams • • • • • • doesnʼt stay behind the plate Iʼm not sure the bat will proﬁle as a regular at any other spot. Photo:Imagn Images SEATTLE MARINERS C"
80,80,Seaver,King,SS,WASHINGTON NATIONALS,"Age: 22 Ht: 6-0 Wt: 195 Bats: R Throws: R 2024 Ranking: Ineligible King spent two years at Division II Wingate University, then transferred to Wake Forest for his junior year and excelled for the Deacons despite the huge jump in competition, hitting https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 116/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic .308/.377/.577 with just a 12 percent strikeout rate. He mostly played third base and centerﬁeld MLB Teams • • • • • • for Wake, occasionally moving to shortstop when Marek Houston was hurt or needed a day off, but the Nats took King with the No. 10 pick and only played him at short in his pro debut. Heʼs a 55 defender there now and could still improve given his lack of experience and limited instruction there. Heʼs got a quick bat and is very aggressive at the plate, especially early in counts, because he can put so many pitches in play, even ones out of the zone — for now, at least, as that doesnʼt always work as you get further up the ladder. Heʼs got sneaky pop, maybe good for 15 homers a year, but his game is going to be much more about hitting for contact and average, since his current swing doesnʼt get a ton of lift on the ball. His 55/60 speed makes him a solid defender in center if shortstop doesnʼt work out, but heʼs most valuable at short and I think heʼs going to hit more than enough to be a very good regular there. Photo:Getty Images WASHINGTON NATIONALS SS"
81,81,Michael,Arroyo,2B,SEATTLE MARINERS,"Age: 20 Ht: 5-8 Wt: 160 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 117/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Unranked Arroyo needed to get to more power, and he did in 2024, repeating Low A and boosting his slugging percentage by 127 points, then heading up to High A and hitting .290/.397/.519 — all before his 20th birthday. He signed in January 2022 with the reputation of being an advanced hitter, and thatʼs been true, as he has a great approach that has him aggressive within the strike zone without expanding outside of it too often. Heʼs short with a stockier build, with really no chance to stay at shortstop, so there was more pressure on him to hit the ball harder, and he did so, with big improvements in his batted-ball data and his power output. He hit ﬁve homers total in 61 games in 2023, then hit 23 in 120 games last year. He barrels the ball very consistently and puts it in the air over 60 percent of the time. In the ﬁeld, he has a plus arm and good enough hands to stay on the dirt somewhere, playing almost all of his reps at second base last year but with third base also a possibility as long as he doesnʼt get much bigger from here. Weʼve seen plenty of undersized inﬁelders become All-Stars in recent years because they could square the ball up for frequent hard contact, including José Ramírez and Alex Bregman. Thatʼs Arroyoʼs absolute best-case scenario, of course, but as long as he stays on the dirt he should be at least an everyday player. https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 118/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Photo:AP Images MLB Teams • • • • • • SEATTLE MARINERS 2B"
82,82,Enrique,"Bradfield, Jr.",OF,BALTIMORE ORIOLES,"Age: 23 Ht: 6-1 Wt: 170 Bats: L Throws: L 2024 Ranking: 64 Bradﬁeldʼs full-season debut went pretty much as expected, as he continued to play elite defense in center and show 80 speed, but he hasnʼt made any changes at the plate to try to drive the ball more consistently. Heʼs one of the best defensive centerﬁelders in the minors, with huge range thanks to his speed and good reads off the bat, and that and his speed give him a pretty clear ﬂoor as a fourth outﬁelder. Thatʼs buttressed by his high-contact approach; he whiffed only 15 https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 119/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic percent of the time he swung last year, according to data from Synergy Sports, and chased MLB Teams • • • • • • pitches out of the zone only 17 percent of the time. Heʼs still got an overly complicated swing that results in a lot of groundballs, although the Orioles are working with him to try to get him to hit more line drives to the outﬁeld, even just over the inﬁeldersʼ heads, and let his legs do their thing. Heʼs slight and not likely to ever hit for more than below-average power, but heʼs strong enough to ambush the occasional pitch and pull it out to right. He started 2024 slowly but improved as the season went on, ﬁnishing with a month in Double A where he hit .287/.395/.396, which I think is probably his best-case scenario in the majors. Add defense that could be +15 runs in a full season in center and youʼve got a 5-WAR player. He just has to keep progressing at the plate, mechanically and in production, to get there. Photo:AP Images BALTIMORE ORIOLES OF"
83,83,Cam,Collier,3B,CINCINNATI REDS,"Age: 20 Ht: 6-1 Wt: 210 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 120/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 50 Collierʼs 2024 season was a mixture of some very good stuff and some bad as well, as he mashed as a 19-year-old in High A but also showed up way bigger than he had the year before and he needs to get his conditioning under control. He was one of only nine teenagers to play all of 2024 at High A or above, only turning 20 in November, and hit .248/.355/.443 with 20 homers, tying for second in homers in the Midwest League behind a 23-year-old. He continued to improve his swing decisions, cutting way down on his chase rate from 2023 and picking up pitch types better, even as he was very young for his level. The bad is that Collier has let his body get away from him, as heʼs gotten so heavy that he might end up at ﬁrst base, which is a waste of his athleticism and raises concerns about his makeup and work ethic. Thereʼs just no reason for a 19-year-old with his frame to get this heavy — heʼs listed at 210, but Iʼd guess heʼs closer to 240 — this soon. His 30-homer upside would still make him a regular at ﬁrst or DH, and heʼs probably to end up with 60+ walks a year. Heʼs more valuable at third base, of course, with a strong enough arm for it, and heʼs also going to put himself at risk of back and knee problems if he doesnʼt manage his size. Photo:Getty Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 121/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic CINCINNATI REDS 3B MLB Teams • • • • • •"
84,84,Konnor,Griffin,"OF,SS",PITTSBURGH PIRATES,"Age: 19 Ht: 6-4 Wt: 215 Bats: R Throws: R 2024 Ranking: Ineligible Grifﬁn was the best tools prospect in the 2024 draft class — meaning he had the best overall combination of physical tools, with potential 60 or 70 grades in power, speed, arm, and ﬁelding in centerﬁeld, but no one seems to know if heʼs going to hit. The Pirates took a shot with the No. 9 pick in the draft and will have to be patient, as the history of high school hitters from Mississippi is pretty dismal because of the caliber of competition those hitters face as amateurs. Heʼs played short and center but looks much better in the outﬁeld, with pro reports on his shortstop defense from instructs not especially glowing, and heʼs got a 70 arm that produced low-90s velocity when https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 122/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic he pitched. Itʼs also huge raw power with a swing that generates a ton of leverage, both good from MLB Teams • • • • • • his hip rotation and bad from his deep hand load that creates a longer path. He does have quick hands and should be able to adjust to a shorter swing without sacriﬁcing much power if any, assuming the Pirates decide to go that route. Thereʼs a ton of risk here — multiple scouts have seen him, raved about the tools, and told me “I just donʼt know if he can hit” — but Grifﬁn offers 30/30 upside with plus defense in center. Photo:Getty Images PITTSBURGH PIRATES OF SS"
85,85,Travis,Sykora,RHP,WASHINGTON NATIONALS,"Age: 21 Ht: 6-6 Wt: 232 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 123/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic 2024 Ranking: Unranked MLB Teams • • • • • • Sykora was the ﬁrst pick on Day 2 of the 2023 draft, and signed with Washington for a ﬁrst-round bonus. All he did in 2024 was pitch like a ﬁrst-rounder, as he struck out 39.2 percent of Low-A hitters he faced and walked just 8.2 percent in 85 innings across 20 starts, posting a 2.33 ERA. Heʼs a giant already, and his delivery has arms and legs ﬂying everywhere, so it must be terrifying for hitters to see all of that mass coming towards them, followed by a small projectile that might be moving at 99 mph. He sits more 93-96, with a slider that ranged from the upper 70s to the mid-80s with short but abrupt downward break, and a heavy split-change around 83-85, with both of the offspeed pitches missing a ton of bats this year. The arm is still kind of late relative to his front leg, and all the moving parts in the delivery make me suspect itʼll always be more control than command for him. He also doesnʼt seem to pitch down with his four-seamer at all, which might not be an issue but just strikes me as unusual. Sykora pitched like a future ace last year, and he has two pitches that could get him there. He may have simply out-stuffed Low-A hitters, however, and I would like to see him do it against more advanced hitters before buying in completely. Photo:Team USA Baseball WASHINGTON NATIONALS RHP"
86,86,Slade,Caldwell,OF,ARIZONA DIAMONDBACKS,"Age: 19 Ht: 5-9 Wt: 182 Bats: L Throws: L https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 124/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: Ineligible Caldwell would have been a top-10 pick in the 2024 draft if he were 6-1 rather than his actual height, which is deﬁnitely less than his listed 5-9 and might be as little as 5-6. No one doubts that he can play, though — itʼs potentially three plus tools in his hit, run, and ﬁeld grades, with an average-ish arm and below-average power. Heʼs got a compact swing and excellent plate discipline, approaching at-bats like a leadoff hitter whose job is to get on base any way he can. Thereʼs deﬁnite bat speed here, enough to turn on good velocity, but there isnʼt average power now and he doesnʼt have the projection to get there. His best route to becoming a regular — or even an above-average one — is to be a high-OBP, high-contact hitter who steals bases and plays plus defense in center, even with six-to-eight homers a year. Heʼs not the next Corbin Carroll, another undersized outﬁelder who the Dbacks selected and developed into a superstar, but he could move quickly through A-ball if his plate discipline is really as good as advertised. Photo:Getty Images ARIZONA DIAMONDBACKS OF"
87,87,MLB,Teams • • • • • •,Jacob Misiorowski,RHP,"MILWAUKEE BREWERS Age: 23 Ht: 6-7 Wt: 190 Bats: R Throws: R 2024 Ranking: 90 I still believe Misiorowski is 100 percent a reliever, but I also think heʼs going to be one of the best relievers in baseball once he gets accustomed to the role. His stuff is so good that he punched out 30 percent of batters he faced in Double A and then again in a brief stint in Triple A, even though heʼs got maybe 40 command if youʼre kind. He averaged 98 on his four-seamer in Nashville, topping out at 100.7 mph, and his slider sits 90-93, with both pitches easily grading out at 70 and possibly 80. His low- to mid-80s curveball gives him a different look, with some sharp downward break, although his command of that pitch is the worst of the three. He routinely gets more than 7 1/4 feet of extension, so hitters really have no chance, and given how wild he is anyway, who can blame them for standing there and not swinging? He walked 14.3 percent of batters he faced last year, with maybe the best two-pitch combo in the minors, where he could send hitters a telegram to tell them whatʼs coming and they still couldnʼt hit it. Itʼs a very high-effort delivery and he hasnʼt toned it down at all since he signed, which further points to a relief role. If he moves to the https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 126/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic bullpen, I think heʼll strike out 40 percent of batters or more and continue to limit hard contact, MLB Teams • • • • • • and become one of the best relievers in the majors. I just do not see any way that delivery and command could work in a rotation. Photo:Imagn Images MILWAUKEE BREWERS RHP"
88,88,Adrian,del Castillo,C,ARIZONA DIAMONDBACKS,"Age: 25 Ht: 5-10 Wt: 208 Bats: L Throws: R 2024 Ranking: Unranked No player on this list surprised me more by making the cut than del Castillo, who didnʼt make my https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 127/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic Arizona top 20 last year, when I said he “could surface as a capable backup, with some on-base MLB Teams • • • • • • skills and enough defense to catch once or twice a week.” Oops. He hadnʼt hit much at all in a stint in Triple-A Reno, one of the minorsʼ best hittersʼ parks, in 2023, but returned there in 2024 and hit .311/.392/.597 with a career-high 26 homers, hitting well on the road as well. He was originally drafted in 2021 as a below-average defensive catcher who could hit but didnʼt show much power. Heʼs worked to improve his receiving and blocking to the point that heʼs an average defender with a 45 arm who can really hit and probably has 20-homer power. He barreled up 10 percent of balls he hit while in Triple A, and his EV50 there was 101 mph, with a swing geared to produce hard line drives. Heʼs best suited to a hybrid role where he catches some of the time and plays ﬁrst or DHs the rest of the time to get him into the lineup as much as possible. I donʼt think heʼs a star, but I do think heʼs an everyday player right now. Photo:Imagn Images ARIZONA DIAMONDBACKS C"
89,89,Brayden,Taylor,3B,TAMPA BAY RAYS,"Age: 23 Ht: 6-0 Wt: 180 Bats: L Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 128/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 56 Taylor had a weird ﬁrst full year in pro ball in two ways — he ended up hitting for more power with less contact than I think anyone reasonably expected, and the way he got to all those strikeouts (24.8 percent in High A, 36.8 percent in Double A) was kind of unusual as well. Taylor hits the ball hard and ended up with a great line in High A beyond the strikeouts, hitting .269/.389/.513 with 44 extra-base hits in 84 games, before struggling in 30 games in Double A, where he hit .194/.290/.435 — still showing power, but of course with way too many Ks. He did raise his bat path a little, making it steeper to manufacture some more lift, which might explain the increase in strikeouts — he actually doesnʼt chase much at all, and he doesnʼt miss a ton in-zone, but when he does expand, itʼs kind of disastrous for him. Photo:Getty Images TAMPA BAY RAYS 3B"
90,90,https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/,129/148,"3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic",Chase DeLauter,"MLB Teams • • • • • • OF CLEVELAND GUARDIANS Age: 23 Ht: 6-3 Wt: 235 Bats: L Throws: L 2024 Ranking: 81 Regular readers of mine know I donʼt like DeLauterʼs swing — at all, really. Itʼs the worst-looking swing on this list. Iʼm not even sure whoʼs second. But DeLauter has also had success everywhere heʼs played so far in the minors, and the biggest knock on him right now isnʼt the fact that looking directly at his swing will turn you to stone, but that he hasnʼt been able to stay on the ﬁeld for a full season. Since the Guardians took him with the No. 16 pick in 2022, at which point he was already out with a broken bone in his left foot, DeLauter has played in just 96 regular-season games, plus two stints in the AFL. The original fracture cost him the remainder of 2022. He required surgery in that winter after he re-fractured it, then suffered another fracture in that foot in April 2024, then developed turf toe in his ﬁrst game back from that injury. He strained his hamstring in late August and missed another month. On the plus side, heʼs hit very well when heʼs been able to play. He destroyed A-ball pitching, hit .271/.353/.436 in 36 games in Double A across two years, and went 7-for-23 with two homers in Triple A this year, followed by his second straight year of excellent production in the AFL. As for the swing, he opens his hips very early and https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 130/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic then almost drags the bat through the zone, with a swing that looks like heʼs trying to scoop the MLB Teams • • • • • • ball and pull it out to right. As a result, he doesnʼt hit anything on the outer third for any power at all, and in a small sample so far lefties have really crushed him, especially with breaking stuff. Heʼs going to have to make some adjustments to get him on time to the zone more consistently, and I think major-league pitchers are going to attack that front hip with velocity up and in, which he can only hit on the ground, and then go soft away to exploit the swing. Nobody has really done that effectively so far in his career, however, so maybe heʼs just good enough to work around them and use his high contact skills to force pitchers to pitch to his strengths — Dustin Pedroia did something similar, and he had a very unorthodox swing as well. DeLauterʼs also a 55 runner and might be a plus defender in a corner, although I think his propensity to get hurt probably makes centerﬁeld a non-starter. Photo:Getty Images CLEVELAND GUARDIANS OF"
91,91,Ronny,Mauricio,"2B,3B",NEW YORK METS,"Age: 24 Ht: 6-3 Wt: 166 Bats: S Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 131/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 94 Mauricio missed all of 2024 after tearing his ACL while playing winter ball, then had a minor setback in his rehab that might delay his return further, although right now heʼs expected to be ready for the start of the regular season. Prior to the injury, he was the Metsʼ top prospect, with lightning in his wrists that produces grade-70 power, peaking at 117 mph in his brief major-league debut. Heʼs just way too aggressive at the plate, chasing offspeed stuff out of the zone at a rate thatʼs not going to be sustainable for a major-league regular — which is why the loss of a year- plus of plate appearances was so damaging for him, as he needs to work on ball/strike and pitch recognition, and the best way to do that is by playing. Iʼve said before he reminds me a ton of Alfonso Soriano, who had similarly electric wrists, never ﬁgured out shortstop, and wasnʼt anything close to “patient” at the plate, but improved his approach enough to hit 412 homers and play 16 years in the majors. Thatʼs a best-case scenario for Mauricio, and probably more unlikely after the injury. Weʼll have to see where he is on his return, what heʼs swinging (or not swinging) at, and how he moves in the ﬁeld. Photo:Imagn Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 132/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic NEW YORK METS 2B 3B MLB Teams • • • • • •"
92,92,Termarr,Johnson,2B,PITTSBURGH PIRATES,"Age: 21 Ht: 5-7 Wt: 175 Bats: L Throws: R 2024 Ranking: 24 This is the, uh, get off the pot year for Johnson, as it is for several of his classmates from the 2022 draft (Druw Jones, Cam Collier). Heʼs entering his age-21 season and still hasnʼt shown the plus hit tool everyone seemed to think he had as an amateur. Johnson failed to post a .250 batting https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 133/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic average for the second year in a row and hit for even less power in 2024 than he had in 2023, MLB Teams • • • • • • again drawing a ton of walks while hitting too many groundballs and pop-ups. Johnson has excellent bat speed and clearly knows the strike zone, and he showed real progress during the season as the Pirates worked with him on his swing decisions to get him to do more damage on pitches on the inner half. He also moved further back in the box, and as a result of those adjustments, he cut down on his whiff and chase rates after the All-Star break and pulled the ball more often. Unfortunately, none of it translated into more hits or more power. A .237/.367/.386 season line isnʼt going to make him more than an extra guy in the majors. He has too good of a swing and too much plate discipline to not hit at least in the high .200s. Photo:Getty Images PITTSBURGH PIRATES 2B"
93,93,Noble,Meyer,RHP,MIAMI MARLINS,"Age: 20 Ht: 6-5 Wt: 185 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 134/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 92 Meyer was the No. 10 pick in the 2023 draft, far and away the best high school pitching prospect in that draft class, but he showed up for his ﬁrst spring training behind his peers, with his fastball velocity down several ticks after his personal offseason program. While his velocity did eventually improve, it was a harbinger of a ﬁrst year that was a mixed bag, to put it mildly. Heʼd touched triple digits in high school with high spin rates on his fastball and two breaking balls, but in his ﬁrst outing in the regular season last year he was just 90-93, building up to 93-97 in his ﬁnal outing in Low A on May 25. Heʼs got a very long arm swing and his arm can be a little late, despite which he still shows a plus slider that generated a 41 percent whiff rate in Low A. His changeup continued to improve and itʼs plus when he lands it, with too many ﬁnishing out of the strike zone right now, while his curveball backed up and wasnʼt the same plus weapon it was for him in high school. His control overall was nowhere near where it should be, as he walked 16.3 percent of batters he faced in Low A and 17.9 percent in High A, approaching a level where itʼs fair to question if heʼll ever have the control to be a major-league starter. Meyer showed No. 1 starter stuff in high school and he ﬂashed some of it last year, but this wasnʼt the same guy the Marlins drafted. Iʼm not giving up on him as a future above-average starter, to be clear, as the stuff is too good, but am https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 135/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic acknowledging that his odds of ending up a reliever went up even as he got through his age-19 MLB Teams • • • • • • season without injury. Photo:Getty Images MIAMI MARLINS RHP"
94,94,Jaden,Hamm,RHP,DETROIT TIGERS,"Age: 22 Ht: 6-1 Wt: 190 Bats: R Throws: R 2024 Ranking: Unranked Hamm was Detroitʼs ﬁfth-round pick in 2023 after his ﬁrst full year as a starter for Middle Tennessee State. He had an unusually high arm slot — nearly over the top — for a starting pitcher but a real weapon in his curveball. He went to High A last year and cut his walk rate from 10.4 percent in 2023 before the draft to 7.8 percent in the minors this past season, striking out 30.6 percent of batters with a full assortment of pitches. His curveball is still plus, his slider is at https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 136/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic least solid-average, and his straight changeup is surprisingly effective — itʼs hard to throw a MLB Teams • • • • • • changeup from that high of a slot, but he does it, and hitters donʼt especially care for it. Heʼs working much more to his glove side now than he did in college, using the fastball and slider that way, since the slider is his only pitch with much horizontal movement, and he had no platoon split at all in High A last year. The knock on Hamm is that he didnʼt hold his velocity all season, and he got hit a little more as the fastball velo declined over the course of the summer. It was his ﬁrst full pro season, and he only spent one spring as a full-time starter in college, so this was the most heʼd ever pitched without some kind of break or layoff, which is the only reason Iʼm willing to cut him some slack on the velo dip. If that happens again, heʼs probably a reliever, and has the weapons to be a good one. His spot on the top 100 is a bet that heʼll stay a starter with more experience and perhaps a little work with the Tigersʼ strength and conditioning team, ending up a solid No. 3 or more. If that doesnʼt work, he could be a bulk reliever given how many effective offspeed pitches he has, just working less than a starter to try to keep his velocity up. Photo:AP Images DETROIT TIGERS RHP"
95,95,Druw,Jones,OF,ARIZONA DIAMONDBACKS,"Age: 21 Ht: 6-4 Wt: 180 Bats: R Throws: R https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 137/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic MLB Teams • • • • • • 2024 Ranking: 41 Jonesʼ second full year in the minors went a lot better than his ﬁrst. For one thing, he stayed healthy all year, playing 109 games after playing just 41 (including rehab games) the year before. For another, he started to produce for the ﬁrst time in pro ball, hitting .275/.409/.405, tying for 12th in all of the minors with 85 walks — same as his draft classmate Termarr Johnson. Itʼs not all good news, as he still hit the ball on the ground way too often (57.2 percent of the time) for a guy with plus raw power, and his defense in center was more often grade 60 than 70 — or grade 80, like his fatherʼs. Heʼs shown more in-game power the other way than to his pull side, and doesnʼt really try to turn on stuff on the inner third yet. His ball/strike recognition turned out to be much more advanced than expected, and the fact that he came back as well as he did from a 2023 season that was ruined by multiple injuries and some visible uncertainty at the plate is a positive sign. He could still end up just an extra outﬁelder but I think itʼs too soon to assume that, given the power and plus defense he showed as an amateur. Photo:Getty Images https://www.nytimes.com/athletic/6078454/2025/01/27/top-100-mlb-prospects-2025-keith-law/ 138/148 3/12/25, 9:23 PM Top 100 MLB prospects 2025: Keith Law’s rankings, with Roman Anthony at No. 1 - The Athletic ARIZONA DIAMONDBACKS OF MLB Teams • • • • • •"
